id,author,date_posted,title,udacity,content
1,Carlos Wilson,2019-11-22 0:00:00,"Guys can anyone share the ama session link, please? Thanks!",Jordan.Udacity,hey @Carlos Wilson the AMA is in here! There's no video
2,Susmitha,2019-11-22 0:00:00,Is there any daily events or challenges will be conducted in this slack to boost up our mind and to test our skills which we have learn?,Brenda.Udacity,Hi @Sushmita! Often our Channel moderators come up with amazing daily challenges for this! We'll open up applications on Monday!
3,Alfredo,2019-11-22 0:00:00,Hi @Brenda.Udacity is there any kind of AWS Credits when we get to the AWS part?,Brenda.Udacity,Hi @Alfredo! Let me double check on this - There should be instructions within that lesson that will tell you!
4,Dieter Jackson,2019-11-22 0:00:00,Will we have a project in this challenge??,Grace.Udacity,"Hi @Dieter Jackson! There won’t be a project, we just ask that you participate in the community and complete all your coursework!"
5,Ashwani,2019-11-22 0:00:00,hi @Brenda.Udacity would you tell me that the final project at the end of phase 1 will i be a group or individual project??,Brenda.Udacity,Hi @Ashwani While there is no formal project in Phase 1 we do encourage you to consider putting together a project to help reinforce your leanings! It's also a great way to collaborate with other Cloud students!!
6,Schitiz Sharma,2019-11-22 0:00:00,Hi @Brenda.Udacity I wanted to ask if it is compulsory to attend all the #ama_sessions? I would be unavailable for a couple of days and would not be able to attend the ama_sessions on monday and tuesday. Will it affect my participation?,Jordan.Udacity,Hey @Schitiz Sharma AMAs are to be more helpful for people who have questions. If you are available then join us! If not no worries.I'd encourage you to use this time to get all your questions out now! And if you see questions you know answers too feel free to jump in!
7,Anish Jain,2019-11-22 0:00:00,Does completing the whole course early favour anyone in getting shortlisted for nanodegree program? @Brenda.Udacity @Jordan.Udacity @Grace.Udacity,Brenda.Udacity,"Hi @Anish Jain! There are no advantages to completing the coursework early. However, if you do, use it as a way to help your classmates complete theirs as well! Teaching is the best reinforcement of what you have learned!"
8,Abishaik Mohan,2019-11-22 0:00:00,"@Brenda.Udacity do we at any point of time, need to pay for any service throughout this 3.5 months course?",Grace.Udacity,Hi @Abishaik Mohan! You will not be expected to pay in any point during the scholarship program!
10,Naman Jindal,2019-11-22 0:00:00,Whenever I come to slack whatever questions an individual has asked he/she has already been given a very good answer. How can I better contribute in these cases,Grace.Udacity,"Hi @Naman Jindal! Participating in AMAs- answering questions in these sessions also help!  We’ll have community programs roll out on Monday, which is another way to participate in the community!"
11,Viktor Stojanov,2019-11-22 0:00:00,@Brenda.Udacity As someone who has a small social anxiety and is always afraid to comment on public channels - will that be a negative influence to your decision on if I'm accepted to get the full scholarship?,Brenda.Udacity,Hi @Viktor Stojanov & @Nyan Lin Tun Please do not be afraid! Think of this as a good way to Challenge yourself. You'll find everyone here has the same goals as you and is happy to lend assistance and grateful for any assistance you can lend them!
